problem,compound,x_a_1,x_a_2,x_a_3,x_a_4,p_a_1,p_a_2,p_a_3,p_a_4,x_b_1,x_b_2,x_b_3,x_b_4,p_b_1,p_b_2,p_b_3,p_b_4
1,FALSE,98,,,,1,,,,103,,,,1,,,
2,FALSE,17,18,,,0.5,0.5,,,17,,,,1,,,
3,FALSE,10,20,30,,0.25,0.25,0.5,,70,100,120,190,0.25,0.25,0.25,0.25
4,FALSE,23,30,,,0.5,0.5,,,5,31,,,0.75,0.25,,
5,FALSE,12,14,16,96,0.25,0.25,0.25,0.25,85,,,,1,,,
6,FALSE,100,,,,1,,,,20,101,,,0.75,0.25,,
7,FALSE,38,77,,,0.75,0.25,,,16,94,,,0.5,0.5,,
8,FALSE,10,90,,,0.5,0.5,,,32,45,56,,0.25,0.5,0.25,
9,FALSE,6,84,105,200,0.25,0.25,0.25,0.25,54,60,117,135,0.25,0.25,0.25,0.25
10,FALSE,13,30,51,81,0.25,0.25,0.25,0.25,19,32,38,86,0.25,0.25,0.25,0.25
